0,empty,tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part ,neutral
1,sadness,Layin n bed with a headache  ughhhhwaitin on your call,negative
2,sadness,Funeral ceremonygloomy friday,negative
3,enthusiasm,wants to hang out with friends SOON,positive
4,neutral,dannycastillo We want to trade with someone who has Houston tickets but no one will,neutral
5,worry,Repinging ghostridah14 why didnt you go to prom BC my bf didnt like my friends,negative
6,sadness,I should be sleep but im not thinking about an old friend who I want but hes married now damn amp he wants me 2 scandalous,negative
7,worry,Hmmm httpwwwdjherocom is down,negative
8,sadness,charviray Charlene my love I miss you,negative
9,sadness,kelcouch Im sorry  at least its Friday,negative
10,neutral,cant fall asleep,neutral
11,worry,Choked on her retainers,negative
12,sadness,Ugh I have to beat this stupid song to get to the next  rude,negative
13,sadness,BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,negative
14,surprise,Got the news,positive
15,sadness,The storm is here and the electricity is gone,negative
16,love,annarosekerr agreed,positive
17,sadness,So sleepy again and its not even that late I fail once again,negative
18,worry,PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,negative
19,sadness,How are YOU convinced that I have always wanted you What signals did I give offdamn I think I just lost another friend,negative
20,worry,raaaaaaek oh too bad I hope it gets better Ive been having sleep issues lately too,negative
21,fun,Wondering why Im awake at 7amwriting a new songplotting my evil secret plots muahahahaoh damn itnot secret anymore,positive
22,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at httptrimmL6Z via bobdc topicmaps,neutral
23,worry,I ate Something I dont know what it is Why do I keep Telling things about food,negative
24,sadness,so tired and i think im definitely going to get an ear infection  going to bed quotearlyquot for once,negative
25,worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggersdamn i feel old,negative
26,sadness,IsaacMascote  im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd,negative
27,worry,Damm servers still down  i need to hit 80 before all the koxpers pass me,negative
28,sadness,Fudge Just BSd that whole paper So tired Ugh I hate school  time to sleep,negative
29,worry,I HATE CANCER I HATE IT I HATE IT I HATE IT,negative
30,hate,It is so annoying when she starts typing on her computer in the middle of the night,negative
31,neutral,cynthia_123 i cant sleep,neutral
32,neutral,I missed the bly bus,neutral
33,neutral,feels strong contractions but wants to go out  httpplurkcompwxidk,neutral
34,neutral,SoCal  stoked or maybe not tomorrow,neutral
35,neutral,Screw you davidbrussee I only have 3 weeks,neutral
36,sadness,ether_radio yeah S i feel all funny cause i havent slept enough  i woke my mum up cause i was singing shes not impressed S you,negative
37,worry,I need skott right now,negative
38,neutral,has work this afternoon,neutral
39,neutral,GABBYiSACTiVE Aw you would not unfollow me would you Then I would cry,neutral
40,happiness,mmm much better day so far its still quite early last day of uds,positive
41,fun,DavidArchie lt3 your gonna be the first  twitter  cause your amazing lol come to canada  would do anything to see you perform,positive
42,worry,just picked up her Blackberry from the middle of the street Both she and it are crushed,negative
43,worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year I think Im missing something,negative
44,empty,creyes middle school and elem High schools will remain open for those who need credits to graduate Cali is broken,neutral
45,worry,Bed its time hope i go to school tomorrow all though i dont feel very well right now,negative
46,worry,onscrn Ahh   Well I was hoping that I could learn some stuff on the way  Why not you and I work on separate things but also,negative
47,sadness,Im having a problem with my photo here in twitter amfcant see my face,negative
48,neutral,jakeboyd oh noooo  if i blow a tire youre reaaaally going to have to send up some batman smoke,neutral
49,neutral,wnna take a bath,neutral
50,neutral,Chocolate milk is so much better through a straw I lack said straw,neutral
51,worry,why am i so tired,negative
52,empty,djmicdamn hey yu lil fucker i textd yu,neutral
53,neutral,Mennard time diff and ive just been wrapped up in day to day stuff so i havent been tweeting talk soonmust sleepup in 6hrs,neutral
54,neutral,benballer  no way damn that sucks B  are you ok,neutral
55,worry,sucks not being able to take days off of work or have the money to take the trip  so sad,negative
56,enthusiasm,bedsorta today was good sara has strep thought Angelina does to i shared a water with her B4 they told me i will prob get it to,positive
57,neutral,ramtops the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but well cope,neutral
58,neutral,lostluna But I got dibs on Sulu,neutral
59,sadness,maternitytees Aww  Onward and upwards now yay Still sad to leave I bet,negative
60,worry,itsgabbith at once haha  poor aby still gets sore,negative
61,sadness,diesel yaris 70mpg  so sad its not available in the US Thatd be awesome,negative
62,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its quotlong time noisyquot,negative
63,sadness,Pokinatcha  in all honestypain   blech,negative
64,sadness,Ok  the passengers  no one is alive  theyre all dead  you just dont know it til the end  then you cry ,negative
65,neutral,At home alone with not much to do,neutral
66,worry,DavidCookLove ia so much i havent really been happy with any of cooks choices for singles,negative
67,sadness,vincew stefanyngo  i fell asleep on the beach and didnt put on enough sunscreen  lol,negative
68,worry,So i think my son might have the flu cause I def just cleaned up a stanky puke mess  Poor pumkpin,negative
69,happiness,So great to see Oin amp Cynthia  So happy  Dinner was great cute little place  Too bad Oin got sick afterwards,positive
70,neutral,I cant give jertronic any bday nudges,neutral
71,worry,and all woman who transfer their first impressions sexualmaternal onto a less threatening man  are themselves as weak as Him,negative
72,neutral,Brothers Bloom wont be opening this weekend in El Paso  Ill just buy Brick and enjoy that until I can watch Brothers Bloom,neutral
73,neutral,says I miss plurking  httpplurkcompwxion,neutral
74,worry,Bitten to blood by my cat on my way for a rabies bacterin Seems 7 shots for 2 months Never wash my cats at home again they hate water,negative
75,neutral,I miss Voobys,neutral
76,neutral,Dancing_Monk Neither are ELP,neutral
77,happiness,havingmysay  dude that is my favorite sandwich place ever ummm did you take PICTURES,positive
78,worry,is sad that shin ae got marriedand it wasnt to alex,negative
79,worry,shondarhimes Sure you will tweet about this when youre back but news is abuzz about TR Knights leaving quotconfirmedquot today  Muy triste,negative
80,sadness,RachelLock22 ohh thursday i have exams all day  what about wednesday ,negative
81,neutral,there was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow  9am,neutral
82,sadness,gcrush nopantsdance i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go,negative
83,worry,goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now,negative
84,sadness,artfuldodga I love those itsakey USB sticks We only have the 4GB in Australia,negative
85,worry,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,negative
86,hate,dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code,negative
87,worry,emmarler i am jealous of your mom talking to taylorswift13 i want to see you all our twittering is making me miss you,negative
88,worry,I cant sleepI keep thinking about the puppy I played with today,negative
89,worry, Im suppposed to be sleep But i got some much to do amp i got that one part of the song stuck in my head quotyour a jerk iknowquot  blaahh,negative
90,neutral,lepetitagneau whats going on sweetheart,neutral
91,neutral,How can it be so freaking difficult to get a systemwide spellchecker Shit Id settle for an office suite one Stupid unhelpful Windows,neutral
92,worry,Last one month due to summer strawberry is not availble in the Chennai markets,negative
93,neutral,willxxmobb work at 6am Gotta go to bed soon,neutral
94,love,RobertF3 correct I ADORE him I just plucked him up and put him under my arm cuz he was cryin  All better now Hahaha,positive
95,sadness,sweeetnspicy hiii im on my ipodi cant fall asleep,negative
96,sadness,dont wanna work 11830 tomorrow  but i get paid,negative
97,sadness,feels sad coz i wasnt able to play with the guys  httpplurkcompwxiux,negative
98,neutral,PrinceCharming,neutral
99,hate, cayogial i wanted to come to BZ this summer  not so sure anymore a teachers life in the summer SUCKS,negative
100,worry,First ever dropped call on my mobile On a call to Telstra no less  being charged for data even though I have a data pack  ,negative
